Genre,Artist,Song Name,Lyrics
Blues,B.B. King,I’m Working On the Building,It's a true foundation I'm lifting up a bloodstained Banner for the Lord I'll have a good time Working on the building I'm going to heaven To get my reward When you see me praying I'm working on the building I'm lifting up a bloodstained Banner for the Lord Well I'll never get tired Working on the building I'm going to heaven To get my reward When you hear me singing I'm working on the building I'm lifting up a bloodstained Banner for the Lord Well I'll never get tired Working on the building I'm going to heaven To get my reward You might also likeWhen you hear me crying I'm working on the building I'm lifting up a bloodstained Banner for the Lord Well I'll never get tired Working on the building I'm going to heaven To get my reward I'm working on the building It's a true foundation I'm lifting up a bloodstained Banner for the Lord Well I'll never get tired Working on the building I'm going to heaven To get my rewardEmbed
Blues,B.B. King,Sweet Little Angel,"I love the way she spread her wings Yes got a sweet little angel I love the way she spread her wings Yes, when she spreads her wings around me I get joy, and everything You know I asked my baby for a nickel And she gave me a $20 bill Oh yes, I asked my baby for a nickel And she gave me a $20 bill Whoah, you know I ask her to buy a little drink of liquor And she gave me a whiskey still Oh, if my baby should quit me I believe I would die Oh if my baby should quit me Lord I do believe I would die Yes if you don't love me little angel Please tell me the reason whyYou might also like"
Blues,B.B. King,Everyday I Have the Blues,"Everyday, everyday I have the blues Ooooh, everyday, everyday I have the blues When you see me worryin' baby Because it's you I hate to lose Well nobody loves me, nobody seems to care Oh nobody loves me, nobody seems to care Well those worries and trouble darling Babe you know I had my share Everyday Everyday Everyday Everyday Everyday Everyday, I have the blues When you see me worryin' baby Because it's you I hate to lose Oh nobody loves me, nobody seems to care Oh nobody loves me, nobody seems to care Well those worries and trouble darling Babe you know I had my shareYou might also like"
Blues,B.B. King,You Upset Me Baby,"28 in the waist, 44 in the hips She got a real crazy legs You upsets me baby Yes you upsets me baby Well I like being hit by a ball and tree Woman what you do to me Well, she's not too tall, complexion is fair Man she knocks me out the way she wears her hair You upsets me baby Yes you upsets me baby Well I like being hit by a ball and tree Woman, woman what you do to me Well, I try to describe her, it's hard to stop I better stop now because I got a weak heart You upsets me Well you upsets me baby Well I like being hit by a ball and tree Woman what you do to me You might also likeWell, I try to describe her, it's hard to stop I better stop now because I got a very weak heart You upsets me baby Yes you upsets me baby Well I like being hit by a ball and tree Woman what you do to me"
Blues,B.B. King,Three O’Clock Blues,"And I can't even close my eyes Three o'clock in the morning baby And I can't even close my eyes Can't find my baby And I can't be satisfied I've looked around me And my baby she can't be found I've looked all around me, people And my baby she can't be found You know if I don't find my baby I'm going down to the Golden Ground That's where the men hang out Goodbye, everybody I believe this is the end Oh goodbye everybody I believe this is the end I want you to tell my baby Tell her please please forgive me Forgive me for my sinsYou might also likeEmbed"
Blues,B.B. King,Why I Sing the Blues,"Why I sing the blues Yes, I say everybody wanna know Why I sing the blues Well, I've been around a long time I really have paid my dues When I first got the blues They brought me over on a ship Men were standing over me And a lot more with a whip And everybody wanna know Why I sing the blues Well, I've been around a long time Mm, I've really paid my dues I've laid in a ghetto flat Cold and numb I heard the rats tell the bedbugs To give the roaches some Everybody wanna know Why I'm singing the blues Yes, I've been around a long time People, I've paid my dues I stood in line Down at the County Hall I heard a man say, ""We're gonna build Some new apartments for y'all"" And everybody wanna know Yes, they wanna know Why I'm singing the blues Yes, I've been around a long, long time Yes, I've really, really paid my dues You might also likeNow I'm gonna play Lucille My kid's gonna grow up Gonna grow up to be a fool Cause they ain't got no more room No more room for him in school And everybody wanna know Everybody wanna know Why I'm singing the blues I say I've been around a long time Yes, I've really paid some dues Yeah, you know the company told me Guess you're born to lose Everybody around me, people It seems like everybody got the blues But I had 'em a long time I've really, really paid my dues You know I ain't ashamed of it, people I just love to sing my blues I walk through the cities, people On my bare feet I had a fill of catfish and chitterlings Up in Downbill Street You know I'm singing the blues Yes, I really I just have to sing my blues I've been around a long time People, I've really, really paid my dues Now Father Time is catching up with me Gone is my youth I look in the mirror everyday And let it tell me the truth I'm singing the blues Mm, I just have to sing the blues I've been around a long time Yes, yes, I've really paid some dues Yeah, they told me everything Would be better out in the country Everything was fine I caught me a bus uptown, baby And every people, all the people Got the same trouble as mine I got the blues, huh huh I say I've been around a long time I've really paid some dues One more time, fellows! Blind man on the corner Begging for a dime The rollers come and caught him And throw him in the jail for a crime I got the blues Mm, I'm singing my blues I've been around a long time Mm, I've really paid some dues Can we do just one more? Oh I thought I'd go down to the welfare To get myself some grits and stuff But a lady stand up and she said ""You haven't been around long enough"" That's why I got the blues Mm, the blues I say, I've been around a long time I've really, really paid my dues Fellows, tell them one more time Ha, ha, ha. That's all right, fellows Yeah!Embed"
Blues,B.B. King,Lucille,"Is from my guitar that's named Lucille I'm very crazy about Lucille Lucille took me from the plantation Or you might say brought me fame I don't think I can just talk enough about Lucille Sometimes when I'm blue it's seems like Lucille Tryin' to help me callin' my name I used to sing spirituals and I thought that This was the thing I wanted to do But somehow or another, when I went in the Army I picked up on Lucille, started singin' blues Well, now when I'm payin' my dues Maybe you don't know what I mean when I say payin' my dues I mean when things are bad with me I can always, I can always you, you know, like depend on Lucille Sorta hard to talk to you myself I guess, I'll let Lucille say All of a few words and then You know, I doubt if you can feel it like I do But when I think about the things that I've gone through Like, well, for instance, if I have a girlfriend and she's misusin' me And I go home at night, maybe I'm lonely Well, not maybe, I am lonely You might also likeI pick up Lucille and then ping out those funny sounds That sound good to me, you know Sometimes I get to play it where I can't even say nothin' Look out Sometimes I think it is cryin' You know if I can sing pop tunes like Frank Sinatra or Sammy Davis Jr I don't think I still could do it 'Cause Lucille don't wanna play nothin' but the blues And I think I'm, I think I'm pretty glad about that 'Cause don't nobody sing to me like Lucille, sing Lucille Well, I'll put it like this, take it easy, Lucille I like the way Sammy sings and I like the way Frank sings But I can get a little Frank, Sammy, little Ray Charles In fact all the people with soul in this A little Mahalia Jackson in there One more Lucille, take it easy now You know, I've met a lot of you months ago A lot of you wanna know why I call the guitar, Lucille Lucille has practically saved my life two, three times No kidding, really has I remember once I was in an automobile accident And when the car stopped turnin' over, it fell over on Lucille And it held it up off of me, really, it held it up off of me So that's one time it saved my life The way, the way, I, uh, I came by the name of Lucille I was over in Twist, Arkansas, I know you never heard of that But happened and one night, the guys started a ball over there You know started brawlin', you know what I mean And the guy that was mad with this old lady When she fell over on this gas tank that was burnin' for heat The gas ran all over the floor and when the gas ran all over the floor The building caught on fire and almost burned me up Tryin' to save Lucille Uh, oh, I, I imagine you're still wondering why I call it Lucille The lady that started the brawl that night was named Lucille And that's been Lucille ever since to me One more now, Lucille Sounds pretty good to me, can I do one more? Look out, Lucille Sounds really good, I think I'll try one more, alright"
Blues,B.B. King,The Thrill is Gone,"The thrill is gone The thrill is gone away The thrill is gone, baby The thrill is gone away You know you done me wrong, baby And you'll be sorry someday The thrill is gone It's gone away from me The thrill is gone, baby The thrill is gone away from me Although I'll still live on But so lonely I'll be The thrill is gone It's gone away for good Oh, the thrill is gone, baby It's gone away for good Someday, I know I'll be over it all, baby Just like I know a man should You might also like You know I'm free, free now, baby I'm free from your spell I'm free, free, free now I'm free from your spell And now that it's all over All I can do is wish you well"
Blues,B.B. King,I’ve Got a Mind to Give Up Living,"Instead I say, I've got a good mind to give up living, and go Shopping instead To pick up me a tombstone, and be pronounced dead When I read your letter this morning, that was in your Place in bed I read your letter this morning, that was in your place In bed And that's when I decided, that I would be better off Dead It read, there is no use you looking, or ever hoping to Get me back Oh, there's no use you looking, or ever hoping to get me Back Yes, because it's all over now, and baby you can bet on ThatYou might also likeEmbed"
Blues,B.B. King,Paying the Cost to Be the Boss,You act like you don't want to listen When I'm talking to you You think you outta do baby Anything you wanna do You must be crazy baby You just gotta be outta your mind As long as I'm payin' the bills woman I'm payin' the cost to be the boss I'll drink if I want to And play a little poker too Don't you say nothing to me As long as I'm taking care of you As long as I'm workin baby And payin' all the bills I don't want no mouth from you About the way I'm supposed to live You must be crazy woman Just gotta be outta your mind As long as I foot the bills I'm payin' the cost to be the boss You might also like Now that you got me You act like you ashamed You don't act like my woman You just usin' my name I tell you I'm gonna have all the money And I don't want no back-talk Cause if you don't like the way I'm doin' Just pick up your things and walk You gotta be crazy baby You must be outta your mind As long as I'm payin' the bills woman I'm payin' the cost to be the bossEmbed
